Nth,Word,Subject Area,Unique Identifier
1,Kevin Sammut,,4940526171765215224
2,Association football,,7603072112530625924
3,Names for association football,,3998939926397590185
4,Association football,,7603072112530625924
,,,
2,Association football,,7603072112530625924
