Nth,Word,Subject Area,Unique Identifier
1,Provinces of Saudi Arabia,,5573868789393317369
2,Asir Province,,-1307027180505625434
3,Provinces of Saudi Arabia,,5573868789393317369
,,,
1,Provinces of Saudi Arabia,,5573868789393317369
