Nth|Word|URL
0|R-27 Zyb|http://wikipedia.org/wiki/SS-N-6
1|Submarine-launched ballistic missile|http://wikipedia.org/wiki/Submarine-launched_ballistic_missile
2|Ballistic missile|http://wikipedia.org/wiki/Ballistic_missile
3|Missile|http://wikipedia.org/wiki/Missile
4|Military|http://wikipedia.org/wiki/Military
