Nth|Word|URL
0|Liu Ying (cyclist)|http://wikipedia.org/wiki/Liu_Ying_%28cyclist%29
1|Jiangsu|http://wikipedia.org/wiki/Jiangsu
2|Simplified Chinese characters|http://wikipedia.org/wiki/Simplified_Chinese_characters
3|Traditional Chinese characters|http://wikipedia.org/wiki/Traditional_Chinese_characters
4|Simplified Chinese characters|http://wikipedia.org/wiki/Simplified_Chinese_characters
