Nth|Word|URL
0|Delamater-Bevin Mansion|http://wikipedia.org/wiki/Bevin_House
1|Victorian architecture|http://wikipedia.org/wiki/Victorian_architecture
2|Architectural style|http://wikipedia.org/wiki/Architectural_style
3|Form|http://wikipedia.org/wiki/form
4|Shape|http://wikipedia.org/wiki/Shape
